start
[26.15, 0.19, 59.135, 0.79, 5.77, 7.757, 0.208]
[28.152, 0.167, 52.184, 0.762, 10.255, 8.226, 0.254]
[20.417, 0.066, 73.376, 0.244, 1.907, 3.909, 0.081]
[20.417, 0.066, 73.376, 0.244, 1.907, 3.909, 0.081]
[20.417, 0.066, 73.376, 0.244, 1.907, 3.909, 0.081]
[30.914, 4.668, 22.407, 4.873, 28.347, 6.182, 2.61]
[49.172, 2.525, 30.006, 1.381, 5.908, 9.272, 1.735]
[49.172, 2.525, 30.006, 1.381, 5.908, 9.272, 1.735]
[49.172, 2.525, 30.006, 1.381, 5.908, 9.272, 1.735]
[49.172, 2.525, 30.006, 1.381, 5.908, 9.272, 1.735]
[45.767, 14.9, 21.966, 2.014, 8.339, 5.823, 1.19]
[33.845, 5.901, 38.375, 0.58, 3.25, 16.256, 1.792]
[33.845, 5.901, 38.375, 0.58, 3.25, 16.256, 1.792]
[33.845, 5.901, 38.375, 0.58, 3.25, 16.256, 1.792]
[23.44, 54.756, 4.904, 8.785, 2.833, 4.384, 0.899]
[23.298, 46.324, 13.742, 8.63, 2.9, 4.165, 0.94]
[23.298, 46.324, 13.742, 8.63, 2.9, 4.165, 0.94]
[23.298, 46.324, 13.742, 8.63, 2.9, 4.165, 0.94]
[45.616, 10.647, 24.3, 4.088, 2.651, 11.249, 1.45]
[45.616, 10.647, 24.3, 4.088, 2.651, 11.249, 1.45]
[45.616, 10.647, 24.3, 4.088, 2.651, 11.249, 1.45]
[45.616, 10.647, 24.3, 4.088, 2.651, 11.249, 1.45]
[45.616, 10.647, 24.3, 4.088, 2.651, 11.249, 1.45]
[55.903, 2.749, 13.465, 14.082, 4.727, 8.129, 0.946]
[55.362, 1.741, 19.965, 6.172, 2.947, 11.031, 2.782]
[55.362, 1.741, 19.965, 6.172, 2.947, 11.031, 2.782]
[55.362, 1.741, 19.965, 6.172, 2.947, 11.031, 2.782]
[62.518, 1.386, 14.52, 4.661, 1.992, 13.002, 1.921]
[78.875, 0.882, 7.995, 2.335, 0.649, 7.291, 1.972]
[78.875, 0.882, 7.995, 2.335, 0.649, 7.291, 1.972]
[78.875, 0.882, 7.995, 2.335, 0.649, 7.291, 1.972]
[71.876, 1.46, 6.968, 7.236, 2.322, 8.772, 1.366]
[46.738, 2.128, 23.198, 4.095, 3.652, 15.75, 4.44]
[72.301, 2.085, 7.477, 3.3, 1.29, 9.75, 3.797]
[72.301, 2.085, 7.477, 3.3, 1.29, 9.75, 3.797]
[56.146, 1.791, 27.02, 2.615, 0.792, 9.64, 1.995]
[61.368, 2.055, 4.518, 13.962, 3.095, 13.383, 1.619]
[68.593, 1.038, 10.367, 4.186, 1.717, 11.374, 2.726]
[68.593, 1.038, 10.367, 4.186, 1.717, 11.374, 2.726]
[68.593, 1.038, 10.367, 4.186, 1.717, 11.374, 2.726]
[49.481, 4.372, 17.116, 1.69, 0.841, 23.617, 2.882]
[68.395, 3.637, 22.415, 1.315, 1.189, 2.675, 0.373]
[68.395, 3.637, 22.415, 1.315, 1.189, 2.675, 0.373]
[68.395, 3.637, 22.415, 1.315, 1.189, 2.675, 0.373]
[88.794, 0.403, 7.892, 0.348, 0.122, 2.122, 0.32]
[72.158, 2.577, 16.235, 0.446, 0.228, 7.91, 0.446]
[80.77, 4.195, 7.614, 1.396, 0.521, 4.937, 0.567]
[80.77, 4.195, 7.614, 1.396, 0.521, 4.937, 0.567]
[66.578, 13.025, 4.246, 1.332, 1.332, 12.155, 1.332]
[16.306, 4.56, 60.894, 4.56, 4.56, 4.56, 4.56]
[16.306, 4.56, 60.894, 4.56, 4.56, 4.56, 4.56]
[16.306, 4.56, 60.894, 4.56, 4.56, 4.56, 4.56]
[16.306, 4.56, 60.894, 4.56, 4.56, 4.56, 4.56]
[57.927, 4.153, 17.118, 5.344, 4.153, 4.153, 7.152]
[57.927, 4.153, 17.118, 5.344, 4.153, 4.153, 7.152]
